id,age,gender,sign,tarot,favorite_color,favorite_animal
0,42,female,taurus,4,orange,eagle
1,39,female,taurus,19,green,goldfish
2,32,male,libra,15,orange,eagle
3,33,male,libra,4,green,hamster
4,31,female,leo,16,yellow,dog
5,34,female,sagittarius,1,orange,tiger
6,50,female,libra,4,green,tiger
7,51,male,virgo,20,purple,tiger
8,58,male,aries,4,green,goldfish
9,54,male,virgo,6,orange,horse
10,49,male,scorpio,9,purple,hamster
11,50,female,pisces,5,green,goldfish
12,21,female,aquarius,17,purple,hamster
13,20,male,aries,14,yellow,cat
14,18,male,aquarius,11,blue,elephant
15,18,female,aquarius,4,orange,hamster
16,59,male,scorpio,13,green,eagle
17,60,female,pisces,9,purple,eagle
18,23,male,taurus,14,purple,eagle
19,23,male,gemini,1,purple,dog
20,20,female,scorpio,11,blue,tiger
21,20,female,gemini,14,blue,cat
22,38,female,leo,15,red,elephant
23,38,female,leo,9,red,goldfish
24,27,male,pisces,4,red,eagle
25,25,female,cancer,13,orange,dog
26,42,female,aquarius,18,orange,hamster
27,42,male,cancer,4,red,horse
28,42,nb,taurus,7,purple,cat
29,41,female,sagittarius,5,yellow,dog
30,38,male,sagittarius,12,blue,hamster
31,38,male,virgo,16,red,cat
32,55,male,aries,5,green,eagle
33,53,male,scorpio,14,blue,dog
34,18,male,capricorn,0,green,eagle
35,20,female,aries,17,green,horse
36,24,male,libra,21,purple,eagle
37,26,female,cancer,14,green,cat
38,25,nb,virgo,19,orange,tiger
39,23,male,scorpio,8,red,hamster
40,23,male,scorpio,20,red,tiger
41,23,female,taurus,4,purple,hamster
42,36,male,taurus,1,red,dog
43,36,male,leo,7,orange,cat
44,46,male,pisces,19,orange,tiger
45,42,female,leo,3,blue,eagle
46,32,male,leo,18,purple,elephant
47,35,female,aquarius,18,purple,elephant
48,49,male,cancer,5,yellow,elephant
49,49,female,libra,5,yellow,goldfish
50,24,female,taurus,11,green,hamster
51,24,female,capricorn,20,red,eagle
52,42,female,sagittarius,4,blue,tiger
53,43,nb,libra,4,yellow,tiger
54,54,male,capricorn,9,yellow,cat
55,55,female,scorpio,0,green,elephant
56,20,female,scorpio,2,red,eagle
57,20,female,capricorn,15,purple,dog
58,47,male,sagittarius,18,purple,hamster
59,51,female,leo,11,blue,dog
60,21,male,libra,4,orange,dog
61,21,male,aquarius,16,blue,elephant
62,43,female,pisces,16,green,goldfish
63,42,nb,leo,15,yellow,horse
64,43,male,taurus,9,blue,eagle
65,43,male,aries,21,green,hamster
66,36,male,virgo,2,red,cat
67,36,female,taurus,15,blue,tiger
68,51,male,cancer,19,blue,horse
69,51,male,pisces,11,yellow,eagle
70,20,male,leo,1,green,cat
71,19,male,libra,6,yellow,tiger
72,22,female,gemini,10,purple,horse
73,21,female,taurus,4,green,cat
74,21,male,taurus,20,orange,dog
75,24,female,aquarius,2,orange,tiger
76,32,nb,scorpio,20,purple,dog
77,34,male,leo,21,purple,cat
78,21,female,taurus,4,blue,dog
79,23,male,aquarius,17,yellow,goldfish
80,50,female,sagittarius,17,blue,tiger
81,49,female,virgo,14,yellow,hamster
82,40,female,sagittarius,5,blue,horse
83,40,female,taurus,13,orange,elephant
84,24,male,scorpio,4,yellow,elephant
85,24,female,aries,5,green,horse
86,22,female,cancer,3,blue,cat
87,22,nb,virgo,3,red,goldfish
88,36,male,libra,11,purple,cat
89,36,female,scorpio,20,red,hamster
90,53,female,leo,17,green,goldfish
91,51,female,scorpio,11,red,cat
92,28,male,pisces,5,green,elephant
93,29,female,pisces,11,blue,cat
94,55,male,aries,11,yellow,goldfish
95,56,male,aquarius,12,blue,hamster
96,58,nb,capricorn,7,yellow,tiger
97,59,female,taurus,16,purple,tiger
98,48,female,sagittarius,13,purple,elephant
99,46,female,gemini,8,orange,hamster
100,59,female,aquarius,20,blue,tiger
101,59,male,aquarius,17,yellow,hamster
102,26,female,cancer,19,red,dog
103,27,male,cancer,1,green,elephant
104,40,female,gemini,4,green,elephant
105,41,female,scorpio,0,purple,goldfish
106,54,female,pisces,13,yellow,cat
107,54,male,cancer,1,yellow,tiger
108,44,male,cancer,17,purple,dog
109,42,male,capricorn,9,red,elephant
110,53,female,gemini,15,blue,hamster
111,54,nb,capricorn,13,red,tiger
112,54,male,cancer,16,yellow,goldfish
113,54,female,aquarius,21,red,dog
114,26,male,pisces,18,blue,goldfish
115,26,male,scorpio,12,orange,horse
116,26,female,cancer,5,purple,hamster
117,27,male,capricorn,10,blue,tiger
118,42,male,leo,3,yellow,eagle
119,43,female,aquarius,12,blue,tiger
120,26,female,taurus,21,orange,hamster
121,26,male,pisces,13,yellow,elephant
122,56,female,virgo,7,green,tiger
123,54,female,cancer,1,blue,goldfish
124,29,male,libra,13,red,elephant
125,31,male,pisces,1,green,dog
126,23,female,leo,18,red,cat
127,22,nb,libra,15,green,horse
128,42,male,cancer,8,orange,tiger
129,41,female,taurus,20,blue,hamster
130,23,male,scorpio,0,red,horse
131,21,female,virgo,3,orange,goldfish
132,28,female,taurus,13,blue,cat
133,28,female,capricorn,12,blue,eagle
134,27,female,virgo,3,red,dog
135,28,male,aquarius,6,red,dog
136,32,female,cancer,17,purple,horse
137,31,male,libra,18,purple,dog
138,20,female,gemini,16,blue,eagle
139,19,male,aquarius,11,red,goldfish
140,30,male,gemini,7,green,dog
141,30,nb,capricorn,19,purple,hamster
142,43,male,aquarius,8,orange,horse
143,41,male,gemini,2,green,eagle
144,50,female,virgo,2,green,hamster
145,46,male,leo,15,blue,dog
146,57,female,leo,7,purple,horse
147,54,nb,libra,9,red,eagle
148,25,male,pisces,5,purple,eagle
149,25,female,aries,18,purple,goldfish
150,33,female,capricorn,20,orange,elephant
151,34,male,taurus,15,yellow,elephant
152,21,female,gemini,10,orange,horse
153,21,male,sagittarius,19,blue,cat
